date,PID,session,condition,sex,age,colony,cohort,normal_weight,weight,food_consumed,depleted_A,depleted_B,depleted_high,depleted_low,status,visit_order,visit_order_noself,current_order,alternative_order,location,elevation,transition_self,visit_length,visit_latency,total_latency,travel_time,head_disp,head_speed,peck_count,peck_rate,IPI_entropy,IPI_rmssd,IPD_entropy,IPD_rmssd,travel_dist,travel_speed,cum_visit_length,cum_visits,cum_head_disp,cum_peck_count,cum_travel_dist,cum_travel_time,alt_cum_visit_length,alt_cum_visits,alt_cum_head_disp,alt_cum_peck_count,alt_cum_travel_dist,alt_cum_travel_time
20221019,P393,11,0-0,female,11,2,1,400,357.0,52,26,26,52,52,1,12,6,5,7,platform A,0.0,0,17.75,38.79,354.77,3.46,1957.7680957940315,5.776797041543422,5.0,0.2815315315315315,0.5623351446188083,3.2949279203041755,1.039720770839918,131.6116966838351,981.9871201578233,2.8440988105830174,147.25,5,15087.182201175716,40.0,4158.121265019291,14.509999999999998,171.39,7,20985.30443028128,41.0,10016.501056218554,39.37
20221019,P393,11,0-0,female,11,2,1,400,357.0,52,26,26,52,52,0,12,6,5,7,platform A,0.0,0,11.550646013642734,38.79,354.77,3.46,1467.0319873889866,6.953347932948735,3.0,0.259515570934256,0.0,2.966858608022971,0.6931471805599453,172.28313107173716,981.9871201578233,2.8440988105830174,11.550646013642734,1,1957.7680957940315,5.0,981.9871201578233,3.46,171.39,7,20985.30443028128,41.0,10016.501056218554,39.37
20221019,P393,11,0-0,female,11,2,1,400,357.0,52,26,26,52,52,1,13,6,6,7,platform A,0.0,1,6.57,18.78,373.55,1.03,608.1185436496969,5.040338532160809,2.0,0.303951367781155,0.0,0.0,0.0,0.0,50.45012981318348,2.8749080673302085,153.82,6,15695.300744825412,42.0,4208.571394832475,15.539999999999996,171.39,7,20985.30443028128,41.0,10016.501056218554,39.37
20221019,P393,11,0-0,female,11,2,1,400,357.0,52,26,26,52,52,0,14,6,7,7,platform A,0.0,1,19.645709126819327,9.14,382.69,2.57,1860.216424682009,5.161041613940038,7.0,0.3560528992878942,1.0114042647073518,2.8903171682937034,0.4505612088663046,136.1966905880264,257.06755901371844,3.581826997293757,375.8030898454695,6,28300.81430589167,66.0,6104.172506600429,55.45,171.39,7,20985.30443028128,41.0,10016.501056218554,39.37
20221019,P393,11,0-0,female,11,2,1,400,357.0,52,26,26,52,52,1,14,6,7,7,platform A,0.0,1,27.21,9.14,382.69,2.57,3007.122540828953,5.945122051497612,10.0,0.3673769287288758,0.9649629230074276,2.799980158659859,0.6869615765973234,165.82830404081778,257.06755901371844,3.581826997293757,181.03,7,18702.423285654364,52.0,4465.6389538461935,18.11,171.39,7,20985.30443028128,41.0,10016.501056218554,39.37
20221019,P393,11,0-0,female,11,2,1,400,357.0,52,26,26,52,52,0,15,7,8,7,platform B,0.0,0,25.214271360132592,30.16,412.85,2.95,2892.774097255494,5.958103851789516,8.0,0.317208564631245,0.9556998911125344,3.4209104886606685,1.15374194270109,177.28430375032818,858.428356909774,3.441070084359913,67.29476475435419,3,12496.36051697208,22.0,2853.610896341107,10.1,181.03,7,18702.423285654364,52.0,4465.6389538461935,18.11
20221019,P393,11,0-0,female,11,2,1,400,357.0,52,26,26,52,52,1,15,7,8,7,platform B,0.0,0,37.6,30.16,412.85,2.95,4068.551205388209,5.709623794190062,10.0,0.2658867322520606,0.936888307539016,4.369811844411102,1.1490596969706202,182.3377099533071,858.428356909774,3.441070084359913,208.99,8,25053.85563566949,51.0,10874.929413128328,42.32,181.03,7,18702.423285654364,52.0,4465.6389538461935,18.11
20221019,P393,11,0-0,female,11,2,1,400,357.0,52,26,26,52,52,1,16,8,8,8,platform A,0.0,0,6.57,43.32,456.17,5.72,940.717893113616,7.875633001870466,1.0,0.1519756838905775,0.0,0.0,0.0,0.0,1248.298671197933,3.83373882653144,187.6,8,19643.14117876798,53.0,5713.937625044126,23.829999999999995,208.99,8,25053.85563566949,51.0,10874.929413128328,42.32
20221019,P393,11,0-0,female,11,2,1,400,357.0,52,26,26,52,52,1,17,9,9,8,platform B,0.0,0,11.9,19.4,475.57,12.83,1564.8887384509967,6.218322191299209,3.0,0.2518891687657431,0.6931471805599453,5.827538073663698,0.6931471805599453,363.947036917212,2798.611757110336,2.85602520640589,220.89,9,26618.744374120488,54.0,13673.541170238665,55.15,187.6,8,19643.14117876798,53.0,5713.937625044126,23.829999999999995
20221019,P393,11,0-0,female,11,2,1,400,357.0,52,26,26,52,52,1,18,10,9,9,platform A,0.0,0,2.9,15.67,491.24,3.77,568.9297408882027,10.03841735509218,2.0,0.6872852233676976,0.0,0.0,0.0,0.0,1079.4615684825446,3.1458311256017097,190.5,9,20212.07091965618,55.0,6793.399193526671,27.599999999999994,220.89,9,26618.744374120488,54.0,13673.541170238665,55.15
